
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT MONDAY, NOVEMBER 11, 2013 16:00     PAGE   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
RECEIVE              | 10655802             |  1 | A4813026 |    200    | EA | _______ | Putaway   | 11/11 10:41 | SM562787 | 01913701  SCREW SKT CSK HD UNBRAKO UNC 1/4X3/4    
RECEIVE              | 10664301             |  1 | A4812956 |    400    | EA | _______ | Putaway   | 11/11 09:57 | SM563171 | 01922909  SCREW SKT CSK HD UNBRAKO 6X20MM         
RECEIVE              | 10684302             |  1 | A4813010 |     25    | EA | _______ | Putaway   | 11/11 10:15 | SM563505 | 02514206  SCREW SKT SHD UNBRAKO M10 THRD 12X70MM  
RECEIVE              | 10700804             |  1 | A4813183 |    300    | EA | _______ | Putaway   | 11/11 12:58 | SM563500 | 00169608  SCREW SET SKT GRUB SS304 METRIC 6X12MM  
RECEIVE              | 10701001             |  1 | A4813182 |    700    | EA | _______ | Putaway   | 11/11 12:58 | SM563500 | 00165806  SCREW SET SKT GRUB SS304 METRIC 4X4MM   
RECEIVE              | 10704702             |  1 | A4813165 |      2    | EA | _______ | Putaway   | 11/11 12:47 | SM563750 | 05537808  CUTTER BOLT HT CENTRE CUT NBC450H  450MM
RECEIVE              | 11143401             |  1 | A4812854 |      2    | EA | _______ | Putaway   | 11/11 09:35 | SM561982 | 06763304  WRENCH TORQUE 3/8 SQ DR 20-100NM JBS    
RECEIVE              | 11195602             |  1 | A4813119 |     24    | EA | _______ | Putaway   | 11/11 11:29 | SM562279 | 05947113  VALVE BALL MINI BRS N/P SCD M&F 1/4" 8MM
RECEIVE              | 11512501             |  1 | A4812837 |    700    | EA | _______ | Putaway   | 11/11 09:34 | SM563236 | 02098104  NUT NYLON INSERT LOCK ZP UNF 1/2        
RECEIVE              | 11522702             |  1 | A4812836 |    600    | EA | _______ | Putaway   | 11/11 09:34 | SM563236 | 02097707  NUT NYLON INSERT LOCK ZP UNF 1/4        
RECEIVE              | 11540302             |  1 | A4813381 |     10    | EA | _______ | Putaway   | 11/11 15:32 | SM564073 | 06285910  FERRULE COPPER N/P HAND SWAGE 6MM       
RECEIVE              | 11592101             |  1 | A4808393 |      1    | EA | _______ | Putaway   | 01/11 09:03 | SM561550 | 02164407  SPRING COMP FIXIT KIT 1 1/4-4" LG CA102 
