J. BLACKWOOD & SON LIMITED           RE-ENTRY KEY/ PAGE ID ORDERS REPORT  - SORTED BY PICKING ORDER NUMBER.     TUESDAY, JUNE 25, 2013 14:06   PAGE   1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 ORDER       |   ZONE   | CUSTOMER     | CUSTOMER                            |      LABEL     | RE-ENTRY |      STATUS    | PRODUCT    | ALLOCATED  | PICK | ALLOCATED |  ORDERED  |  AVAILBLE 
 NUMBER      |          | NUMBER       | NAME                                |  DATE    TIME  |   KEY    |                |            | LOCATION   | LINE | STOCK ID  |  QUANTITY |  QUANTITY
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
306173366102 | 14    | 272532       | SERCO SODEXO DEFENCE SERVICES PTY L | 25/06/13 13:05 |      0   | Nothing Picked | 07243282   |            |      |           |        15 |       209
306173380201 | 09    | 061495       | ROADS & MARITIME SERVICES - SYDNEY  | 25/06/13 10:12 | 990420   | Nothing Picked | 01219672   | CROSSDOC   | CRSS | A4719784  |        50 |         0
306173389501 | 19    | 048504       | PLASSER AUSTRALIA PTY LTD           | 25/06/13 11:24 | 990790   | Nothing Picked | 08521614   | CROSSDOC   | CRSS | A4719645  |         1 |         0
306173390900 | 05    | 057731       | SIGMA AIR CONDITIONING              | 25/06/13 10:12 |      0   | Nothing Picked | 09851881   |            |      |           |         8 |        52
306173390900 | 05    | 057731       | SIGMA AIR CONDITIONING              | 25/06/13 10:12 | 990421   | Nothing Picked | 01447303   | CROSSDOC   | CRSS | A4719788  |       100 |         0
306173392800 | 12    | 080179       | ORICA AUSTRALIA PTY LTD             | 25/06/13 13:52 | 991452   | Nothing Picked | 01972382   | CROSSDOC   | CRSS | A4719900  |         1 |         0
306173393301 | 99    | 009584       | FAIVELEY TRANSPORT AUSTRALIA LTD    | 25/06/13 13:48 | 991443   | Nothing Picked | 03374150   | CROSSDOC   | CRSS | A4719588  |         2 |         0
306173396901 | 07    | 057378       | STOWE AUSTRALIA PTY LTD             | 25/06/13 12:43 | 991131   | Nothing Picked | 02053806   | PICKRECV   | RECV | A4724936  |         7 |         0
306173399503 | 14    | 037705       | MOOREBANK AEROSOL FILLERS           | 25/06/13 10:33 |      0   | Nothing Picked | 00620908   |            |      |           |         2 |         0
306173399503 | 14    | 037705       | MOOREBANK AEROSOL FILLERS           | 25/06/13 10:33 | 990564   | Nothing Picked | 03544107   | PICKRECV   | RECV | A4724795  |         7 |         0
306173409801 | 33    | 276209       | JEMENA ASSET MANAGEMENT P/L         | 25/06/13 11:37 | 990845   | Nothing Picked | 07853157   | CROSSDOC   | CRSS | A4719793  |        15 |         0
306173417500 | 63    | 900074       | JBS COFFS HARBOUR - COD ACCOUNT     | 25/06/13 10:12 | 990418   | Nothing Picked | 00238850   | CROSSDOC   | CRSS | A4719795  |         4 |         0
306173417500 | 63    | 900074       | JBS COFFS HARBOUR - COD ACCOUNT     | 25/06/13 10:12 | 990419   | Nothing Picked | 01215286   | CROSSDOC   | CRSS | A4719796  |         2 |         0
306173418002 | 10    | 016623       | TSA METAL PRODUCTS PTY LTD          | 25/06/13 10:07 | 990384   | Nothing Picked | 05999477   | PICKRECV   | RECV | A4724717  |         1 |         0
306173424201 | 06    | 881046       | ST PIUS X COLLEGE                   | 25/06/13 12:43 | 991132   | Nothing Picked | 05368006   | PICKRECV   | RECV | A4724937  |       750 |         0
306173427901 | 81    | 082545       | THALES AUSTRALIA                    | 25/06/13 10:00 | 990266   | Nothing Picked | 05494116   | CROSSDOC   | CRSS | A4720425  |         1 |         0
